question,q_label,s_label,s_variant,q_no,test_phen,cop_type,past_type,fill_type,q_type,sentence,dynamic,durative,telic,aspectual_class
Q4_21,61a,61,a,71,2,0,5,0,1,His wife brought cake for the last party.,1,1,1,accomplishment
Q6_21,61b,61,b,137,2,0,5,0,2,His wife bring cake for the last party.,1,1,1,accomplishment
Q7_21,62a,62,a,72,2,0,5,0,1,Your friend told me what happened.,1,1,1,accomplishment
Q9_21,62b,62,b,138,2,0,5,0,2,Your friend tell me what happened.,1,1,1,accomplishment
Q10_21,63a,63,a,73,2,0,5,0,1,They sold their house last month.,1,0,1,achievement
Q12_21,63b,63,b,139,2,0,5,0,2,They sell their house last month.,1,0,1,achievement
Q4_22,64b,64,b,140,2,0,5,0,2,Their father buy the house three years ago.,1,0,1,achievement
Q6_22,64a,64,a,74,2,0,5,0,1,Their father bought the house three years ago.,1,0,1,achievement
Q7_22,65b,65,b,141,2,0,5,0,2,Her cousin teach primary school in the past.,1,1,0,activity
Q9_22,65a,65,a,75,2,0,5,0,1,Her cousin taught primary school in the past.,1,1,0,activity
Q10_22,66b,66,b,142,2,0,5,0,2,The food feel very cold before I put it in the oven.,0,1,0,state
Q12_22,66a,66,a,76,2,0,5,0,1,The food felt very cold before I put it in the oven.,0,1,0,state
