question,q_label,s_label,s_variant,q_no,test_phen,cop_type,past_type,fill_type,q_type,sentence
Q10_20,60b,60,b,136,2,0,4,0,2,I fold the clothes just now.
Q10_21,63a,63,a,73,2,0,5,0,1,They sold their house last month.
Q10_22,66b,66,b,142,2,0,5,0,2,The food feel very cold before I put it in the oven.
Q10_23,69,69,,147,3,0,0,1,3,The box become on the floor.
Q10_24,72,72,,153,3,0,0,2,3,The sky became dark.
Q10_3,11b,11,b,87,1,1,0,0,2,That one eighty cents.
Q10_4,12b,12,b,88,1,1,0,0,2,Tomorrow Saturday.
Q10_5,17a,17,a,27,1,2,0,0,1,Their shop is far.
Q10_6,18a,18,a,28,1,2,0,0,1,Your dog is big.
Q10_7,23b,23,b,99,1,2,0,0,2,The supermarket open.
Q10_8,24b,24,b,100,1,2,0,0,2,Your flat nice.
Q10_9,29a,29,a,39,1,3,0,0,1,Your book is on the table.
Q12_1,05b,5,b,81,1,1,0,0,2,The apple one dollar.
Q12_10,26b,26,b,102,1,3,0,0,2,The meeting at noon.
Q12_11,36a,36,a,46,1,3,0,0,1,Their wedding is on a weekend.
Q12_12,31a,31,a,41,1,3,0,0,1,Mary is at work.
Q12_13,39b,39,b,115,2,0,1,0,2,"Ten years ago, the houses are very big."
Q12_14,42a,42,a,52,2,0,1,0,1,You thought your bags were lost.
Q12_15,45b,45,b,121,2,0,2,0,2,Last Monday they come twice.
Q12_16,48a,48,a,58,2,0,2,0,1,Mark dug a hole so he can plant vegetables now.
Q12_17,51b,51,b,127,2,0,3,0,2,Henry pack for his trip this morning.
Q12_18,54a,54,a,64,2,0,3,0,1,Jane pushed me first.
Q12_19,57b,57,b,133,2,0,4,0,2,This blue shirt fade in the wash.
Q12_2,06b,6,b,82,1,1,0,0,2,Now two o'clock.
Q12_20,60a,60,a,70,2,0,4,0,1,I folded the clothes just now.
Q12_21,63b,63,b,139,2,0,5,0,2,They sell their house last month.
Q12_22,66a,66,a,76,2,0,5,0,1,The food felt very cold before I put it in the oven.
Q12_23,69,69,,148,3,0,0,1,3,The box become on the floor.
Q12_24,72,72,,154,3,0,0,2,3,The sky became dark.
Q12_3,11a,11,a,21,1,1,0,0,1,That one is eighty cents.
Q12_4,12a,12,a,22,1,1,0,0,1,Tomorrow is Saturday.
Q12_5,17b,17,b,93,1,2,0,0,2,Their shop far.
Q12_6,18b,18,b,94,1,2,0,0,2,Your dog big.
Q12_7,23a,23,a,33,1,2,0,0,1,The supermarket is open.
Q12_8,24a,24,a,34,1,2,0,0,1,Your flat is nice.
Q12_9,29b,29,b,105,1,3,0,0,2,Your book on the table.
